"","Zip","clim_div"
"63",27054,"NC CENTRAL PIEDMONT"
"64",27606,"NC CENTRAL PIEDMONT"
"65",27408,"NC NORTHERN PIEDMONT"
"66",28452,"NC SOUTHERN COASTAL PLAIN"
"67",27574,"NC NORTHERN PIEDMONT"
"68",28562,"NC CENTRAL COASTAL PLAIN"
"69",28733,"NC SOUTHERN MOUNTAINS"
"70",28684,"NC NORTHERN MOUNTAINS"
"71",28464,"NC SOUTHERN COASTAL PLAIN"
"72",27927,"NC NORTHERN COASTAL PLAIN"
"73",27923,"NC NORTHERN COASTAL PLAIN"
"74",27966,"NC NORTHERN COASTAL PLAIN"
"75",28119,"NC SOUTHERN PIEDMONT"
"76",27875,"NC CENTRAL COASTAL PLAIN"
"77",28791,"NC SOUTHERN MOUNTAINS"
"78",27932,"NC NORTHERN COASTAL PLAIN"
"79",28646,"NC NORTHERN MOUNTAINS"
"80",27890,"NC NORTHERN COASTAL PLAIN"
"81",28777,"NC SOUTHERN MOUNTAINS"
"82",28616,"NC NORTHERN MOUNTAINS"
"83",28327,"NC SOUTHERN PIEDMONT"
"84",28909,"NC SOUTHERN MOUNTAINS"
"85",27924,"NC NORTHERN COASTAL PLAIN"
"86",28668,"NC NORTHERN MOUNTAINS"
"87",28740,"NC SOUTHERN MOUNTAINS"
"88",28073,"NC SOUTHERN PIEDMONT"
"89",27925,"NC CENTRAL COASTAL PLAIN"
"90",27967,"NC NORTHERN COASTAL PLAIN"
"91",28712,"SC MOUNTAIN"
"92",28746,"NC SOUTHERN MOUNTAINS"
"93",27872,"NC NORTHERN COASTAL PLAIN"
"94",28364,"NC SOUTHERN COASTAL PLAIN"
"95",28749,"NC SOUTHERN MOUNTAINS"
"96",27281,"NC SOUTHERN PIEDMONT"
"97",28755,"NC SOUTHERN MOUNTAINS"
"98",28358,"NC SOUTHERN COASTAL PLAIN"
"99",28772,"SC MOUNTAIN"
"100",28328,"NC SOUTHERN COASTAL PLAIN"
"101",28762,"NC SOUTHERN MOUNTAINS"
"102",28553,"NC CENTRAL COASTAL PLAIN"
"103",28577,"NC CENTRAL COASTAL PLAIN"
"104",28640,"NC NORTHERN MOUNTAINS"
"105",28557,"NC CENTRAL COASTAL PLAIN"
"106",27981,"NC NORTHERN COASTAL PLAIN"
"107",27936,"NC NORTHERN COASTAL PLAIN"
"108",27587,"NC CENTRAL PIEDMONT"
"109",27508,"NC NORTHERN PIEDMONT"
"110",28125,"NC CENTRAL PIEDMONT"
"111",28422,"NC SOUTHERN COASTAL PLAIN"
"112",28451,"NC SOUTHERN COASTAL PLAIN"
"113",27517,"NC CENTRAL PIEDMONT"
"114",28107,"NC SOUTHERN PIEDMONT"
"115",28027,"NC SOUTHERN PIEDMONT"
"116",27613,"NC CENTRAL PIEDMONT"
"117",27513,"NC CENTRAL PIEDMONT"
"118",27055,"NC NORTHERN MOUNTAINS"
"119",27601,"NC CENTRAL PIEDMONT"
"120",27358,"NC NORTHERN PIEDMONT"
"121",27893,"NC CENTRAL COASTAL PLAIN"
"122",27704,"NC CENTRAL PIEDMONT"
"123",27863,"NC CENTRAL COASTAL PLAIN"
"124",28547,"NC SOUTHERN COASTAL PLAIN"
"125",28551,"NC CENTRAL COASTAL PLAIN"
"126",28542,"NC SOUTHERN COASTAL PLAIN"
"127",27803,"NC CENTRAL COASTAL PLAIN"
"128",28212,"NC SOUTHERN PIEDMONT"
"129",27503,"NC NORTHERN PIEDMONT"
"130",27807,"NC CENTRAL COASTAL PLAIN"
"131",28348,"NC SOUTHERN COASTAL PLAIN"
"132",27051,"NC NORTHERN PIEDMONT"
"133",28226,"NC SOUTHERN PIEDMONT"
"134",28701,"NC SOUTHERN MOUNTAINS"
"135",28770,"NC SOUTHERN MOUNTAINS"
"136",28214,"NC SOUTHERN PIEDMONT"
"137",28278,"NC SOUTHERN PIEDMONT"
"138",28078,"NC SOUTHERN PIEDMONT"
"139",27856,"NC NORTHERN COASTAL PLAIN"
"140",28580,"NC CENTRAL COASTAL PLAIN"
"141",28037,"NC SOUTHERN PIEDMONT"
"142",28412,"NC SOUTHERN COASTAL PLAIN"
"143",27053,"VA WESTERN PIEDMONT"
"144",27521,"NC SOUTHERN COASTAL PLAIN"
"145",28398,"NC SOUTHERN COASTAL PLAIN"
"146",28368,"NC SOUTHERN COASTAL PLAIN"
"147",27506,"NC SOUTHERN COASTAL PLAIN"
"148",27239,"NC SOUTHERN PIEDMONT"
"149",28086,"NC SOUTHERN PIEDMONT"
"150",28645,"NC SOUTHERN MOUNTAINS"
"151",28612,"NC SOUTHERN PIEDMONT"
"152",28420,"NC SOUTHERN COASTAL PLAIN"
"153",27407,"NC NORTHERN PIEDMONT"
"154",28449,"NC SOUTHERN COASTAL PLAIN"
"155",28480,"NC SOUTHERN COASTAL PLAIN"
"156",27529,"NC CENTRAL COASTAL PLAIN"
"157",28147,"NC CENTRAL PIEDMONT"
"158",27048,"VA WESTERN PIEDMONT"
"159",27568,"NC CENTRAL COASTAL PLAIN"
"160",28041,"NC CENTRAL PIEDMONT"
"161",27268,"NC NORTHERN PIEDMONT"
"162",28716,"NC SOUTHERN MOUNTAINS"
"163",28443,"NC SOUTHERN COASTAL PLAIN"
"164",28585,"NC CENTRAL COASTAL PLAIN"
"165",27291,"NC NORTHERN PIEDMONT"
"166",28743,"NC SOUTHERN MOUNTAINS"
"167",27941,"NC NORTHERN COASTAL PLAIN"
"168",27897,"NC NORTHERN COASTAL PLAIN"
"169",28739,"NC SOUTHERN MOUNTAINS"
"170",27806,"NC CENTRAL COASTAL PLAIN"
"171",28472,"NC SOUTHERN COASTAL PLAIN"
"172",27212,"NC NORTHERN PIEDMONT"
"173",27379,"NC NORTHERN PIEDMONT"
"174",28906,"NC SOUTHERN MOUNTAINS"
"175",28109,"NC SOUTHERN PIEDMONT"
"176",27839,"NC NORTHERN COASTAL PLAIN"
"177",27817,"NC CENTRAL COASTAL PLAIN"
"178",28621,"NC NORTHERN MOUNTAINS"
"179",28766,"NC SOUTHERN MOUNTAINS"
"180",28623,"VA SOUTHWESTERN MOUNTAIN"
"181",28705,"NC SOUTHERN MOUNTAINS"
"182",28652,"NC NORTHERN MOUNTAINS"
"183",28315,"NC SOUTHERN PIEDMONT"
"184",28736,"NC SOUTHERN MOUNTAINS"
"185",28707,"NC SOUTHERN MOUNTAINS"
"186",28337,"NC SOUTHERN COASTAL PLAIN"
"187",28020,"NC SOUTHERN PIEDMONT"
"188",28394,"NC SOUTHERN PIEDMONT"
"189",27974,"NC NORTHERN COASTAL PLAIN"
"190",28373,"NC SOUTHERN PIEDMONT"
"191",28768,"NC SOUTHERN MOUNTAINS"
"192",28167,"NC SOUTHERN MOUNTAINS"
"193",28018,"NC SOUTHERN PIEDMONT"
"194",27247,"NC SOUTHERN PIEDMONT"
"195",27957,"NC NORTHERN COASTAL PLAIN"
"196",28644,"NC NORTHERN MOUNTAINS"
"197",28017,"NC SOUTHERN PIEDMONT"
"198",28718,"SC MOUNTAIN"
"199",28654,"NC NORTHERN MOUNTAINS"
"200",28375,"NC SOUTHERN COASTAL PLAIN"
"201",28626,"NC NORTHERN MOUNTAINS"
"202",28528,"NC CENTRAL COASTAL PLAIN"
"203",28367,"NC SOUTHERN PIEDMONT"
"204",27582,"NC NORTHERN PIEDMONT"
"205",28363,"NC SOUTHERN PIEDMONT"
"206",27954,"NC NORTHERN COASTAL PLAIN"
"207",27968,"NC NORTHERN COASTAL PLAIN"
"208",27943,"NC NORTHERN COASTAL PLAIN"
"209",27861,"NC NORTHERN COASTAL PLAIN"
"210",28077,"NC SOUTHERN PIEDMONT"
"211",28343,"NC SOUTHERN COASTAL PLAIN"
"212",27295,"NC CENTRAL PIEDMONT"
"213",28625,"NC CENTRAL PIEDMONT"
"214",27545,"NC CENTRAL PIEDMONT"
"215",27265,"NC CENTRAL PIEDMONT"
"216",28678,"NC CENTRAL PIEDMONT"
"217",28479,"NC SOUTHERN COASTAL PLAIN"
"218",27253,"NC CENTRAL PIEDMONT"
"219",28104,"NC SOUTHERN PIEDMONT"
"220",28761,"NC SOUTHERN MOUNTAINS"
"221",28642,"NC NORTHERN MOUNTAINS"
"222",27617,"NC CENTRAL PIEDMONT"
"223",27519,"NC CENTRAL PIEDMONT"
"224",28203,"NC SOUTHERN PIEDMONT"
"225",27830,"NC CENTRAL COASTAL PLAIN"
"226",28574,"NC CENTRAL COASTAL PLAIN"
"227",28546,"NC CENTRAL COASTAL PLAIN"
"228",28206,"NC SOUTHERN PIEDMONT"
"229",28333,"NC CENTRAL COASTAL PLAIN"
"230",28513,"NC CENTRAL COASTAL PLAIN"
"231",28312,"NC SOUTHERN COASTAL PLAIN"
"232",27837,"NC CENTRAL COASTAL PLAIN"
"233",27878,"NC CENTRAL COASTAL PLAIN"
"234",27829,"NC CENTRAL COASTAL PLAIN"
"235",27708,"NC NORTHERN PIEDMONT"
"236",28715,"NC SOUTHERN MOUNTAINS"
"237",28395,"NC SOUTHERN COASTAL PLAIN"
"238",27050,"NC NORTHERN PIEDMONT"
"239",27886,"NC CENTRAL COASTAL PLAIN"
"240",27572,"NC NORTHERN PIEDMONT"
"241",28753,"NC SOUTHERN MOUNTAINS"
"242",27009,"NC NORTHERN PIEDMONT"
"243",28216,"NC SOUTHERN PIEDMONT"
"244",28031,"NC SOUTHERN PIEDMONT"
"245",28401,"NC SOUTHERN COASTAL PLAIN"
"246",28504,"NC CENTRAL COASTAL PLAIN"
"247",28609,"NC CENTRAL PIEDMONT"
"248",27549,"NC NORTHERN PIEDMONT"
"249",27292,"NC CENTRAL PIEDMONT"
"250",27801,"NC NORTHERN COASTAL PLAIN"
"251",28110,"NC SOUTHERN PIEDMONT"
"252",27011,"NC NORTHERN MOUNTAINS"
"253",27607,"NC CENTRAL PIEDMONT"
"254",27713,"NC CENTRAL PIEDMONT"
"255",27518,"NC CENTRAL PIEDMONT"
"256",28071,"NC SOUTHERN PIEDMONT"
"257",28202,"NC SOUTHERN PIEDMONT"
"258",27883,"NC CENTRAL COASTAL PLAIN"
"259",28540,"NC SOUTHERN COASTAL PLAIN"
"260",27569,"NC CENTRAL COASTAL PLAIN"
"261",27260,"NC CENTRAL PIEDMONT"
"262",28578,"NC CENTRAL COASTAL PLAIN"
"263",28590,"NC CENTRAL COASTAL PLAIN"
"264",28305,"NC SOUTHERN COASTAL PLAIN"
"265",27879,"NC CENTRAL COASTAL PLAIN"
"266",28314,"NC SOUTHERN COASTAL PLAIN"
"267",27812,"NC CENTRAL COASTAL PLAIN"
"268",28344,"NC SOUTHERN COASTAL PLAIN"
"269",28759,"NC SOUTHERN MOUNTAINS"
"270",27021,"NC NORTHERN PIEDMONT"
"271",28310,"NC SOUTHERN PIEDMONT"
"272",28356,"NC SOUTHERN COASTAL PLAIN"
"273",28269,"NC SOUTHERN PIEDMONT"
"274",27406,"NC CENTRAL PIEDMONT"
"275",28658,"NC CENTRAL PIEDMONT"
"276",28405,"NC SOUTHERN COASTAL PLAIN"
"277",27541,"NC NORTHERN PIEDMONT"
"278",27016,"NC NORTHERN PIEDMONT"
"279",27030,"VA SOUTHWESTERN MOUNTAIN"
"280",28341,"NC SOUTHERN COASTAL PLAIN"
"281",27370,"NC CENTRAL PIEDMONT"
"282",28112,"NC SOUTHERN PIEDMONT"
"283",28127,"NC SOUTHERN PIEDMONT"
"284",28671,"NC SOUTHERN MOUNTAINS"
"285",28034,"NC SOUTHERN PIEDMONT"
"286",27282,"NC NORTHERN PIEDMONT"
"287",28428,"NC SOUTHERN COASTAL PLAIN"
"288",27313,"NC CENTRAL PIEDMONT"
"289",27577,"NC CENTRAL COASTAL PLAIN"
"290",28366,"NC CENTRAL COASTAL PLAIN"
"291",27326,"VA WESTERN PIEDMONT"
"292",28144,"NC CENTRAL PIEDMONT"
"293",28137,"NC SOUTHERN PIEDMONT"
"294",27608,"NC CENTRAL PIEDMONT"
"295",27027,"NC NORTHERN PIEDMONT"
"296",28088,"NC CENTRAL PIEDMONT"
"297",27342,"NC NORTHERN PIEDMONT"
"298",28170,"NC SOUTHERN PIEDMONT"
"299",28692,"NC NORTHERN MOUNTAINS"
"300",28782,"SC MOUNTAIN"
"301",28091,"NC SOUTHERN PIEDMONT"
"302",28573,"NC CENTRAL COASTAL PLAIN"
"303",27965,"NC NORTHERN COASTAL PLAIN"
"304",27810,"NC CENTRAL COASTAL PLAIN"
"305",27804,"NC NORTHERN COASTAL PLAIN"
"306",28650,"NC SOUTHERN PIEDMONT"
"307",27028,"NC NORTHERN MOUNTAINS"
"308",28508,"NC CENTRAL COASTAL PLAIN"
"309",28090,"NC SOUTHERN PIEDMONT"
"310",28638,"NC NORTHERN MOUNTAINS"
"311",27350,"NC CENTRAL PIEDMONT"
"312",28469,"NC SOUTHERN COASTAL PLAIN"
"313",28409,"NC SOUTHERN COASTAL PLAIN"
"314",27455,"NC NORTHERN PIEDMONT"
"315",27599,"NC NORTHERN PIEDMONT"
"316",27248,"NC CENTRAL PIEDMONT"
"317",27341,"NC SOUTHERN PIEDMONT"
"318",27325,"NC SOUTHERN PIEDMONT"
"319",28023,"NC CENTRAL PIEDMONT"
"320",27697,"NC CENTRAL PIEDMONT"
"321",27695,"NC CENTRAL PIEDMONT"
"322",28478,"NC SOUTHERN COASTAL PLAIN"
"323",27842,"NC NORTHERN PIEDMONT"
"324",27343,"NC NORTHERN PIEDMONT"
"325",27958,"VA TIDEWATER"
"326",28393,"NC SOUTHERN COASTAL PLAIN"
"327",27876,"NC NORTHERN COASTAL PLAIN"
"328",28618,"NC NORTHERN MOUNTAINS"
"329",27824,"NC CENTRAL COASTAL PLAIN"
"330",28773,"SC MOUNTAIN"
"331",27007,"NC NORTHERN MOUNTAINS"
"332",28731,"NC SOUTHERN MOUNTAINS"
"333",27615,"NC CENTRAL PIEDMONT"
"334",28790,"SC MOUNTAIN"
"335",28713,"NC SOUTHERN MOUNTAINS"
"336",28430,"NC SOUTHERN COASTAL PLAIN"
"337",28150,"NC SOUTHERN PIEDMONT"
"338",28552,"NC CENTRAL COASTAL PLAIN"
"339",27922,"NC NORTHERN COASTAL PLAIN"
"340",27563,"NC NORTHERN PIEDMONT"
"341",27921,"NC NORTHERN COASTAL PLAIN"
"342",27356,"NC SOUTHERN PIEDMONT"
"343",28631,"VA SOUTHWESTERN MOUNTAIN"
"344",28509,"NC CENTRAL COASTAL PLAIN"
"345",27209,"NC SOUTHERN PIEDMONT"
"346",28350,"NC SOUTHERN PIEDMONT"
"347",28378,"NC SOUTHERN COASTAL PLAIN"
"348",27507,"VA EASTERN PIEDMONT"
"349",27846,"NC NORTHERN COASTAL PLAIN"
"350",28708,"NC SOUTHERN MOUNTAINS"
"351",28649,"NC NORTHERN MOUNTAINS"
"352",28362,"NC SOUTHERN COASTAL PLAIN"
"353",28763,"NC SOUTHERN MOUNTAINS"
"354",28615,"NC NORTHERN MOUNTAINS"
"355",28385,"NC SOUTHERN COASTAL PLAIN"
"356",28579,"NC CENTRAL COASTAL PLAIN"
"357",28076,"NC SOUTHERN MOUNTAINS"
"358",28511,"NC CENTRAL COASTAL PLAIN"
"359",28575,"NC CENTRAL COASTAL PLAIN"
"360",28666,"NC SOUTHERN MOUNTAINS"
"361",27537,"VA EASTERN PIEDMONT"
"362",27262,"NC CENTRAL PIEDMONT"
"363",27012,"NC CENTRAL PIEDMONT"
"364",28117,"NC SOUTHERN PIEDMONT"
"365",28660,"NC CENTRAL PIEDMONT"
"366",28636,"NC CENTRAL PIEDMONT"
"367",27516,"NC CENTRAL PIEDMONT"
"368",28628,"NC SOUTHERN MOUNTAINS"
"369",27320,"NC NORTHERN PIEDMONT"
"370",28075,"NC SOUTHERN PIEDMONT"
"371",27214,"NC NORTHERN PIEDMONT"
"372",27604,"NC CENTRAL PIEDMONT"
"373",27101,"NC NORTHERN PIEDMONT"
"374",27858,"NC CENTRAL COASTAL PLAIN"
"375",28280,"NC SOUTHERN PIEDMONT"
"376",28584,"NC CENTRAL COASTAL PLAIN"
"377",27530,"NC CENTRAL COASTAL PLAIN"
"378",28555,"NC CENTRAL COASTAL PLAIN"
"379",27851,"NC CENTRAL COASTAL PLAIN"
"380",27104,"NC NORTHERN PIEDMONT"
"381",27896,"NC CENTRAL COASTAL PLAIN"
"382",27707,"NC NORTHERN PIEDMONT"
"383",28303,"NC SOUTHERN COASTAL PLAIN"
"384",27703,"NC CENTRAL PIEDMONT"
"385",27884,"NC CENTRAL COASTAL PLAIN"
"386",27852,"NC CENTRAL COASTAL PLAIN"
"387",28805,"NC SOUTHERN MOUNTAINS"
"388",27524,"NC CENTRAL COASTAL PLAIN"
"389",27712,"NC NORTHERN PIEDMONT"
"390",28209,"NC SOUTHERN PIEDMONT"
"391",28384,"NC SOUTHERN COASTAL PLAIN"
"392",28277,"NC SOUTHERN PIEDMONT"
"393",27023,"NC NORTHERN MOUNTAINS"
"394",28613,"NC CENTRAL PIEDMONT"
"395",27401,"NC NORTHERN PIEDMONT"
"396",27501,"NC CENTRAL COASTAL PLAIN"
"397",27504,"NC CENTRAL COASTAL PLAIN"
"398",27046,"NC NORTHERN PIEDMONT"
"399",27546,"NC SOUTHERN COASTAL PLAIN"
"400",27332,"NC SOUTHERN COASTAL PLAIN"
"401",28080,"NC SOUTHERN PIEDMONT"
"402",27526,"NC SOUTHERN COASTAL PLAIN"
"403",27592,"NC CENTRAL COASTAL PLAIN"
"404",27330,"NC SOUTHERN PIEDMONT"
"405",28690,"NC SOUTHERN MOUNTAINS"
"406",27256,"NC CENTRAL PIEDMONT"
"407",28630,"NC SOUTHERN MOUNTAINS"
"408",28108,"NC SOUTHERN PIEDMONT"
"409",28120,"NC SOUTHERN PIEDMONT"
"410",28411,"NC SOUTHERN COASTAL PLAIN"
"411",27301,"NC NORTHERN PIEDMONT"
"412",27283,"NC CENTRAL PIEDMONT"
"413",28605,"NC NORTHERN MOUNTAINS"
"414",28056,"NC SOUTHERN PIEDMONT"
"415",27316,"NC CENTRAL PIEDMONT"
"416",28036,"NC SOUTHERN PIEDMONT"
"417",28624,"NC NORTHERN MOUNTAINS"
"418",28146,"NC CENTRAL PIEDMONT"
"419",27576,"NC CENTRAL COASTAL PLAIN"
"420",27593,"NC CENTRAL COASTAL PLAIN"
"421",28039,"NC CENTRAL PIEDMONT"
"422",27573,"NC NORTHERN PIEDMONT"
"423",27832,"NC NORTHERN COASTAL PLAIN"
"424",28421,"NC SOUTHERN COASTAL PLAIN"
"425",28435,"NC SOUTHERN COASTAL PLAIN"
"426",28679,"NC NORTHERN MOUNTAINS"
"427",27565,"NC NORTHERN PIEDMONT"
"428",27831,"NC NORTHERN COASTAL PLAIN"
"429",28751,"NC SOUTHERN MOUNTAINS"
"430",28102,"NC SOUTHERN PIEDMONT"
"431",27985,"NC NORTHERN COASTAL PLAIN"
"432",27917,"NC NORTHERN COASTAL PLAIN"
"433",28431,"NC SOUTHERN COASTAL PLAIN"
"434",28604,"NC NORTHERN MOUNTAINS"
"435",28009,"NC SOUTHERN PIEDMONT"
"436",28653,"NC NORTHERN MOUNTAINS"
"437",27892,"NC CENTRAL COASTAL PLAIN"
"438",28676,"NC NORTHERN MOUNTAINS"
"439",28438,"NC SOUTHERN COASTAL PLAIN"
"440",28463,"NC SOUTHERN COASTAL PLAIN"
"441",28774,"SC MOUNTAIN"
"442",28587,"NC CENTRAL COASTAL PLAIN"
"443",28779,"NC SOUTHERN MOUNTAINS"
"444",27551,"NC NORTHERN PIEDMONT"
"445",28556,"NC CENTRAL COASTAL PLAIN"
"446",27553,"NC NORTHERN PIEDMONT"
"447",27986,"NC NORTHERN COASTAL PLAIN"
"448",28554,"NC CENTRAL COASTAL PLAIN"
"449",27983,"NC NORTHERN COASTAL PLAIN"
"450",27306,"NC SOUTHERN PIEDMONT"
"451",28357,"NC SOUTHERN COASTAL PLAIN"
"452",28747,"NC SOUTHERN MOUNTAINS"
"453",28533,"NC CENTRAL COASTAL PLAIN"
"454",28019,"NC SOUTHERN MOUNTAINS"
"455",27509,"NC NORTHERN PIEDMONT"
"456",28516,"NC CENTRAL COASTAL PLAIN"
"457",27948,"NC NORTHERN COASTAL PLAIN"
"458",27938,"NC NORTHERN COASTAL PLAIN"
"459",27920,"NC NORTHERN COASTAL PLAIN"
"460",27841,"NC NORTHERN COASTAL PLAIN"
"461",28775,"NC SOUTHERN MOUNTAINS"
"462",27709,"NC NORTHERN PIEDMONT"
"463",27982,"NC NORTHERN COASTAL PLAIN"
"464",28101,"NC SOUTHERN PIEDMONT"
"465",27202,"NC NORTHERN PIEDMONT"
"466",28282,"NC SOUTHERN PIEDMONT"
"467",28352,"NC SOUTHERN COASTAL PLAIN"
"468",27584,"NC NORTHERN PIEDMONT"
"469",27826,"NC CENTRAL COASTAL PLAIN"
"470",27980,"NC NORTHERN COASTAL PLAIN"
"471",28729,"NC SOUTHERN MOUNTAINS"
"472",28001,"NC SOUTHERN PIEDMONT"
"473",27823,"NC NORTHERN COASTAL PLAIN"
"474",27311,"VA WESTERN PIEDMONT"
"475",28662,"NC NORTHERN MOUNTAINS"
"476",28710,"NC SOUTHERN MOUNTAINS"
"477",27821,"NC CENTRAL COASTAL PLAIN"
"478",27299,"NC CENTRAL PIEDMONT"
"479",28163,"NC SOUTHERN PIEDMONT"
"480",27874,"NC NORTHERN COASTAL PLAIN"
"481",28320,"NC SOUTHERN COASTAL PLAIN"
"482",28783,"NC SOUTHERN MOUNTAINS"
"483",28152,"NC SOUTHERN PIEDMONT"
"484",28675,"VA SOUTHWESTERN MOUNTAIN"
"485",28904,"NC SOUTHERN MOUNTAINS"
"486",28529,"NC CENTRAL COASTAL PLAIN"
"487",27928,"NC CENTRAL COASTAL PLAIN"
"488",28560,"NC CENTRAL COASTAL PLAIN"
"489",28434,"NC SOUTHERN COASTAL PLAIN"
"490",28040,"NC SOUTHERN PIEDMONT"
"491",27909,"NC NORTHERN COASTAL PLAIN"
"492",28725,"NC SOUTHERN MOUNTAINS"
"493",28714,"NC SOUTHERN MOUNTAINS"
"494",28377,"NC SOUTHERN COASTAL PLAIN"
"495",28685,"NC NORTHERN MOUNTAINS"
"496",28043,"NC SOUTHERN MOUNTAINS"
"497",28383,"NC SOUTHERN COASTAL PLAIN"
"498",28372,"NC SOUTHERN COASTAL PLAIN"
"499",28570,"NC CENTRAL COASTAL PLAIN"
"500",28379,"NC SOUTHERN PIEDMONT"
"501",28643,"NC NORTHERN MOUNTAINS"
"502",28520,"NC CENTRAL COASTAL PLAIN"
"503",28594,"NC CENTRAL COASTAL PLAIN"
"504",28345,"NC SOUTHERN PIEDMONT"
"505",27915,"NC NORTHERN COASTAL PLAIN"
"506",27857,"NC NORTHERN COASTAL PLAIN"
"507",27840,"NC NORTHERN COASTAL PLAIN"
"508",27864,"NC NORTHERN COASTAL PLAIN"
"509",28032,"NC SOUTHERN PIEDMONT"
"510",27340,"NC NORTHERN PIEDMONT"
"511",27201,"NC NORTHERN PIEDMONT"
"512",27969,"NC NORTHERN COASTAL PLAIN"
"513",28355,"NC CENTRAL PIEDMONT"
"514",27360,"NC CENTRAL PIEDMONT"
"515",27597,"NC CENTRAL COASTAL PLAIN"
"516",27571,"NC CENTRAL PIEDMONT"
"517",27544,"NC NORTHERN PIEDMONT"
"518",28634,"NC NORTHERN MOUNTAINS"
"519",27013,"NC CENTRAL PIEDMONT"
"520",28655,"NC SOUTHERN MOUNTAINS"
"521",27355,"NC CENTRAL PIEDMONT"
"522",28641,"NC SOUTHERN MOUNTAINS"
"523",28025,"NC SOUTHERN PIEDMONT"
"524",28097,"NC SOUTHERN PIEDMONT"
"525",28801,"NC SOUTHERN MOUNTAINS"
"526",28445,"NC SOUTHERN COASTAL PLAIN"
"527",28539,"NC SOUTHERN COASTAL PLAIN"
"528",28582,"NC CENTRAL COASTAL PLAIN"
"529",27103,"NC NORTHERN PIEDMONT"
"530",28803,"NC SOUTHERN MOUNTAINS"
"531",27533,"NC CENTRAL COASTAL PLAIN"
"532",27109,"NC NORTHERN PIEDMONT"
"533",27880,"NC CENTRAL COASTAL PLAIN"
"534",27278,"NC NORTHERN PIEDMONT"
"535",27871,"NC CENTRAL COASTAL PLAIN"
"536",28382,"NC SOUTHERN COASTAL PLAIN"
"537",28704,"NC SOUTHERN MOUNTAINS"
"538",28207,"NC SOUTHERN PIEDMONT"
"539",28270,"NC SOUTHERN PIEDMONT"
"540",27596,"NC CENTRAL PIEDMONT"
"541",27816,"NC NORTHERN PIEDMONT"
"542",27844,"NC NORTHERN PIEDMONT"
"543",27603,"NC CENTRAL COASTAL PLAIN"
